,X1,X2,X3,X4,X5,X6,X7,X8,Sds_Armed,Anomaly_Tag
1303,0.7659600000000001,1.2874,7.7641,2.0024,0.39113000000000003,0.92509,10.31,2.0195,1,0
1304,0.764,1.2874,7.7899,2.0031,0.42632,0.9720700000000001,9.3439,2.1072,1,0
1305,0.76262,1.2859,7.822,2.0074,0.45919,0.98885,9.0291,2.1439,1,0
1306,0.76235,1.2853,7.8652,2.0087,0.46095,0.97591,8.8845,2.1446,1,0
1307,0.76217,1.2846,7.9617,2.012,0.43513,0.93805,10.312000000000001,2.2123,1,0
1308,0.7620899999999999,1.2838,8.0853,2.015,0.43858,0.9099200000000001,12.315,2.2731,1,0
1309,0.76217,1.2848,8.1741,2.0165,0.45843,0.8972600000000001,13.612,2.3282,1,0
1310,0.76159,1.2854,8.2233,2.0176,0.49016000000000004,0.9119700000000001,13.815999999999999,2.2881,1,0
1311,0.75918,1.2825,8.2502,2.0180000000000002,0.49206000000000005,0.93571,13.752,2.2492,1,0
1312,0.75813,1.2806,8.277999999999999,2.0222,0.48146000000000005,0.9515600000000001,13.389000000000001,2.2849,1,0
1313,0.7562,1.2799,8.314,2.0318,0.4717,0.9779899999999999,12.061,2.3153,1,0
1314,0.74352,1.2613,8.3729,2.0406,0.48496999999999996,1.0072,10.785,2.3313,1,0
1315,0.72468,1.2288,8.4488,2.0448,0.46861,0.9954,10.843,2.3483,1,0
1316,0.7216199999999999,1.2216,8.503,2.0492,0.43788999999999995,0.95714,11.367,2.4389,1,0
1317,0.72143,1.2205,8.5784,2.0503,0.4172,0.93761,12.48,2.4901,1,0
1318,0.71925,1.2178,8.727,2.0528,0.3903,0.90515,14.811,2.4557,1,0
1319,0.71222,1.2101,8.8404,2.0517,0.37521,0.8666200000000001,16.284000000000002,2.3311,1,0
1320,0.7088399999999999,1.2084,8.9208,2.0534,0.34573000000000004,0.83478,16.597,2.2669,1,0
1321,0.7055600000000001,1.2062,9.0136,2.0571,0.31074,0.83014,16.697,2.2632,1,0
1322,0.70227,1.2034,9.0792,2.06,0.27007,0.81333,16.535,2.214,1,0
1323,0.69944,1.2009999999999998,9.0992,2.0633,0.26952,0.8117800000000001,15.283,2.1994,1,0
1324,0.68939,1.1904,9.1228,2.0675,0.28184000000000003,0.8292299999999999,12.753,2.1998,1,0
1325,0.6805100000000001,1.1806,9.1636,2.0698,0.2897,0.8316,11.323,2.2111,1,0
1326,0.67718,1.1781,9.219,2.0703,0.30479,0.8436600000000001,11.110999999999999,2.1841,1,0
1327,0.67675,1.1768,9.2412,2.0715,0.34886999999999996,0.8523200000000001,10.134,2.1664,1,0
1328,0.67805,1.1762,9.2532,2.0703,0.40645,0.8566,9.353,2.0986,1,0
1329,0.67166,1.1686,9.2774,2.0673,0.4182,0.8394299999999999,9.3496,2.0304,1,0
1330,0.66506,1.1614,9.2891,2.0685,0.44432,0.83481,9.1599,2.0346,1,0
1331,0.66577,1.1647,9.277000000000001,2.0718,0.5383899999999999,0.97649,8.3435,2.0742,1,0
1332,0.66795,1.1702,9.2614,2.0726,0.62951,1.1291,6.8671,2.0742,1,0
1333,0.66305,1.1656,9.2393,2.0676,0.63649,1.1415,5.9919,2.0065,1,0
1334,0.65556,1.1612,9.2274,2.0656,0.62302,1.1696,5.6892,1.9769,1,0
1335,0.65501,1.1626,9.2612,2.0677,0.64618,1.2033,5.9484,2.0094,1,0
1336,0.65595,1.1618,9.294,2.0648,0.65808,1.1992,6.4877,1.9607,1,0
1337,0.65562,1.1598,9.2998,2.0604,0.5764600000000001,1.0469,6.8042,1.8459999999999999,1,0
1338,0.65432,1.1599,9.3003,2.0580000000000003,0.48802,0.8812700000000001,6.9883,1.8286,1,0
1339,0.66073,1.1713,9.2926,2.061,0.62259,1.0852,6.8491,1.9434,1,0
1340,0.67404,1.1941,9.289,2.0675,0.8743299999999999,1.4984,6.5933,2.0625,1,0
1341,0.67869,1.2009,9.289,2.0713,0.95011,1.6133,5.9255,2.0702,1,0
1342,0.67987,1.2008,9.2857,2.0705,1.0049,1.6923,5.2006,2.0274,1,0
1343,0.68014,1.2009,9.271,2.07,1.0552,1.7564,5.0762,2.0491,1,0
1344,0.68156,1.2026,9.288,2.072,1.1198,1.8146,5.7733,2.0649,1,0
1345,0.6823899999999999,1.2034,9.3232,2.0739,1.0087,1.5974,6.6956,1.9669999999999999,1,0
1346,0.6833100000000001,1.2032,9.3268,2.0765,0.77713,1.1476,6.9793,1.885,1,0
1347,0.6856399999999999,1.2045,9.3187,2.0767,0.7329600000000001,1.0405,6.9338,1.8611,1,0
1348,0.68814,1.2066,9.3225,2.0763,0.73583,1.0315,6.9358,1.8896,1,0
1349,0.68758,1.2081,9.3355,2.0783,0.7642399999999999,1.1086,6.9414,1.9662,1,0
1350,0.6966899999999999,1.2409,9.34,2.079,1.2297,2.0878,6.1843,1.9806,1,0
1351,0.71586,1.2786,9.3348,2.0768,1.6794,2.9709,5.2652,1.9703,1,0
1352,0.7246,1.2848,9.3277,2.0708,1.8030000000000002,3.1387,5.0292,1.9180000000000001,1,0
1353,0.72931,1.2886,9.3255,2.0689,1.8369,3.2001,5.1053,1.8841,1,0
1354,0.72447,1.2839,9.3184,2.0706,1.815,3.2066,5.6058,1.9301,1,0
1355,0.71182,1.2691,9.3184,2.0719,1.7781,3.1313,6.1955,1.9177,1,0
1356,0.71178,1.2689,9.3381,2.0745,1.3255,2.1715,7.1807,1.9286,1,0
1357,0.71507,1.2664,9.331,2.0736,0.92704,1.3679,8.8266,1.9747,1,0
1358,0.7136399999999999,1.2592,9.372,2.0715,0.7639100000000001,1.1936,10.119,2.0113,1,0
1359,0.6853600000000001,1.2093,9.4291,2.0698,0.68438,1.115,11.07,2.0557,1,0
1360,0.66261,1.1697,9.5006,2.0709,0.68279,1.0819,11.825999999999999,2.1107,1,0
1361,0.65927,1.1658,9.5601,2.0775,0.6594300000000001,1.0395,12.067,2.1830000000000003,1,0
1362,0.66004,1.1666,9.5769,2.0836,0.63543,1.001,11.481,2.2227,1,0
1363,0.6625800000000001,1.169,9.5508,2.0864,0.58309,0.93594,10.4,2.2289,1,0
1364,0.66027,1.165,9.5342,2.0888,0.6411399999999999,0.98726,9.8882,2.2717,1,0
1365,0.6553800000000001,1.1578,9.5822,2.0945,0.67885,0.9956799999999999,9.9817,2.3318,1,0
1366,0.65859,1.1599,9.6206,2.0980000000000003,0.72243,1.0549,10.035,2.3079,1,0
1367,0.6629999999999999,1.1635,9.6407,2.0963,0.8164399999999999,1.1782,10.14,2.2344,1,0
1368,0.6649,1.1642,9.6307,2.0937,0.80576,1.1747,10.414000000000001,2.1971,1,0
1369,0.66599,1.1657,9.6141,2.0928,0.7732399999999999,1.1669,10.295,2.2407,1,0
1370,0.66383,1.1671,9.6421,2.0957,0.70396,1.1608,10.042,2.2735,1,0
1371,0.66251,1.1672,9.6544,2.0995,0.6674899999999999,1.1614,8.9854,2.2529,1,0
1372,0.66123,1.1640000000000001,9.6455,2.1015,0.6409100000000001,1.1207,7.5361,2.2222,1,0
1373,0.6602899999999999,1.1605,9.6178,2.1035,0.58734,1.0303,6.5409,2.2144,1,0
1374,0.6605300000000001,1.1602,9.5718,2.1046,0.5787800000000001,1.0164,6.265,2.2029,1,0
1375,0.66185,1.1622,9.5702,2.1066,0.63089,1.0498,6.5976,2.1702,1,0
1376,0.66765,1.168,9.5669,2.1085,0.7944899999999999,1.1466,6.5689,2.1125,1,0
1377,0.6712600000000001,1.1732,9.5213,2.108,0.87505,1.2216,6.7014,2.0758,1,0
1378,0.67179,1.1757,9.4752,2.1073,0.8219700000000001,1.2228,6.9041,2.1063,1,0
1379,0.67179,1.1764,9.4545,2.109,0.77544,1.2152,6.6029,2.1651,1,0
1380,0.67232,1.1768,9.4559,2.1098,0.78556,1.2214,6.1299,2.2043,1,0
1381,0.67812,1.1876,9.4544,2.1124,0.92591,1.4551,5.4543,2.2151,1,0
1382,0.68815,1.206,9.4527,2.1143,1.0351,1.7411,5.0044,2.2577,1,0
1383,0.69391,1.2126,9.4406,2.1158,1.0577,1.7725,4.7345,2.2997,1,0
1384,0.6987399999999999,1.2173,9.4179,2.1175,1.1343,1.8266,4.7587,2.2894,1,0
1385,0.70907,1.2273,9.3971,2.1204,1.3667,2.0677,5.3973,2.2987,1,0
1386,0.73307,1.2537,9.3753,2.1214,1.8578,2.64,6.2394,2.2799,1,0
1387,0.73969,1.2648,9.3241,2.1205,1.7786,2.5679,6.794,2.2623,1,0
